mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,2022,Web manga,Comedy,12,166143,101366,Q3,0.61,0.4358,0.0032,0.8564,0.3633,Остальные,Продолжение
54859,Rinkai!,2024,Mixed media,Sports,12,9729,4668,Q1 малые,0.4798,0.2137,0.0038,0.655,0.175,Остальные,Дебют
59360,Rock wa Lady no Tashinami deshite,2025,Manga,Comedy,13,68865,43251,Q2,0.6276,0.4019,0.0065,0.8061,0.5123,Нишевые любимчики,Дебют
54259,Rokudou no Onna-tachi,2023,Manga,Comedy,12,61260,44940,Q2,0.7334,0.4595,0.002,0.8047,0.4563,Остальные,Дебют
52461,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,2023,Light novel,Fantasy,12,112300,91832,Q3,0.8175,0.6395,0.0029,0.8761,0.6706,Надёжный просмотр,Дебют
48363,RPG Fudousan,2022,4-koma manga,Comedy,12,51600,34365,Q2,0.6659,0.3789,0.0024,0.7474,0.3418,Остальные,Дебют
40392,Runway de Waratte,2020,Manga,Drama,12,136972,87568,Q3,0.6392,0.495,0.0032,0.8774,0.4432,Остальные,Дебют
59791,Ruri no Houseki,2025,Manga,Slice of Life,13,59978,32897,Q2,0.5435,0.1402,0.004,0.7399,0.1986,Остальные,Дебют
50613,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),2023,Manga,Action,24,146660,98998,Q3,0.6748,0.3681,0.0061,0.8214,0.5338,Нишевые любимчики,Дебют
57554,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,2024,Manga,Action,23,56855,36398,Q2,0.6396,0.4317,0.0047,0.8728,0.4838,Остальные,Дебют
51381,RWBY: Hyousetsu Teikoku,2022,Other,Action,12,117590,73541,Q3,0.6252,0.3377,0.0057,0.8363,0.429,Нишевые любимчики,Дебют
50185,Ryman's Club,2022,Original,Sports,12,85256,57175,Q2,0.6706,0.4499,0.0063,0.8662,0.6001,Нишевые любимчики,Дебют
