mal_id,episode,retention,title,segment,source,title_type
49782,1,0.9487,Shadows House 2nd Season,Остальные,Manga,Продолжение
49820,1,0.844,Cardfight!! Vanguard: will+Dress Season 2,Остальные,Original,Продолжение
49828,1,0.9467,Kidou Senshi Gundam: Suisei no Majo,Флагманы,Original,Дебют
49831,1,0.8694,Black★★Rock Shooter: Dawn Fall,Нишевые любимчики,Other,Дебют
49849,1,0.9363,Shinmai Renkinjutsushi no Tenpo Keiei,Надёжный просмотр,Light novel,Дебют
49858,1,0.9308,Shinigami Bocchan to Kuro Maid 2nd Season,Остальные,Web manga,Продолжение
49891,1,0.9554,Tensei shitara Ken deshita,Флагманы,Light novel,Дебют
49894,1,0.9279,Eiyuu Kyoushitsu,Надёжный просмотр,Light novel,Дебют
49969,1,0.9124,Tribe Nine,Остальные,Mixed media,Дебют
49979,1,0.9529,Akuyaku Reijou nanode Last Boss wo Kattemimashita,Надёжный просмотр,Light novel,Дебют
49980,1,0.9297,Sugar Apple Fairy Tale,Нишевые любимчики,Light novel,Дебют
49981,1,0.8449,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",Остальные,Light novel,Продолжение
50010,1,0.9355,Meitantei Conan: Hannin no Hanzawa-san,Надёжный просмотр,Manga,Дебют
50172,1,0.9653,Mob Psycho 100 III,Флагманы,Web manga,Продолжение
50175,1,0.952,"Yuusha, Yamemasu",Надёжный просмотр,Light novel,Дебют
50184,1,0.9326,Seiken Gakuin no Makentsukai,Надёжный просмотр,Light novel,Дебют
50185,1,0.9398,Ryman's Club,Нишевые любимчики,Original,Дебют
50197,1,0.9543,"Ijiranaide, Nagatoro-san 2nd Attack",Нишевые любимчики,Web manga,Продолжение
50203,1,0.949,Love Live! Superstar!! 2nd Season,Нишевые любимчики,Other,Продолжение
50204,1,0.9185,Tokyo 24-ku,Остальные,Original,Дебют
50220,1,0.9268,Isekai Shoukan wa Nidome desu,Надёжный просмотр,Light novel,Дебют
50221,1,0.892,Shine Post,Остальные,Mixed media,Дебют
50265,1,0.9743,Spy x Family,Флагманы,Manga,Дебют
50273,1,0.9607,Tomodachi Game,Флагманы,Manga,Дебют
50284,1,0.8589,Technoroid: Overmind,Остальные,Mixed media,Дебют
50285,1,0.6738,On Air Dekinai!,Остальные,Manga,Дебют
50287,1,0.9313,Kyuuketsuki Sugu Shinu 2,Остальные,Manga,Продолжение
50306,1,0.9403,Seirei Gensouki 2,Нишевые любимчики,Light novel,Продолжение
50307,1,0.9359,Tonikaku Kawaii 2nd Season,Нишевые любимчики,Manga,Продолжение
50348,1,0.922,Peter Grill to Kenja no Jikan: Super Extra,Остальные,Manga,Продолжение
50380,1,0.9468,Paripi Koumei,Флагманы,Web manga,Дебют
50384,1,0.919,Mononogatari,Остальные,Manga,Дебют
50392,1,0.9287,Mato Seihei no Slave,Нишевые любимчики,Manga,Дебют
50416,1,0.9467,Skip to Loafer,Флагманы,Manga,Дебют
50425,1,0.9549,"Fuufu Ijou, Koibito Miman.",Флагманы,Manga,Дебют
50461,1,0.9562,Otome Game Sekai wa Mob ni Kibishii Sekai desu,Флагманы,Light novel,Дебют
50481,1,0.9457,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Надёжный просмотр,Light novel,Дебют
50583,1,0.9146,Buta no Liver wa Kanetsu Shiro,Остальные,Light novel,Дебют
50606,1,0.8828,Ayakashi Triangle,Остальные,Manga,Дебют
50631,1,0.9594,"Komi-san wa, Comyushou desu. 2nd Season",Флагманы,Manga,Продолжение
50638,1,0.8844,Muv-Luv Alternative 2nd Season,Остальные,Visual novel,Продолжение
